Date,Shipment,Mode,Product,SI QTY,QTY,Total Packages,Standard Total,Boxes Total,Warp Total,Returnable Total,Ratio Standard,Ratio Boxes,Ratio Warp,Ratio Returnable,110x110x115 QTY,110x110x90 QTY,110x110x65 QTY,80X120X115 QTY,80X120X90 QTY,80X120X65 QTY,42X46X68 QTY,47X66X68 QTY,53X53X58 QTY,57X64X84 QTY,68X74X86 QTY,70X100X90 QTY,27X27X22 QTY,53X53X19 QTY,WARP QTY,UNIT QTY,RETURNABLE QTY,Remark
15-02-2021,FAP,VESSEL,INVERTER,7,112,14,5,4,5,0,5.00,1.33,0.50,0.00,5,0,0,0,0,0,2,0,0,0,2,0,0,0,5,0,0,
15-02-2021,FET,COURIER,VENDING MACHINE,1,1,1,0,0,1,0,0.00,0.00,0.10,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
15-02-2021,FEF,AIRCRAFT,TEMPERATURE CONTROL,2,4,2,0,2,0,0,0.00,0.67,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,
15-02-2021,FEE,AIRCRAFT,INVERTER,1,60,2,2,0,0,0,2.00,0.00,0.00,0.00,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
16-02-2021,FEA NJ,VESSEL,INVERTER,6,188,15,2,3,10,0,2.00,1.00,1.00,0.00,0,0,0,0,2,0,2,1,0,0,0,0,0,0,10,0,0,
16-02-2021,FEE,VESSEL,INVERTER,5,36,25,0,2,23,0,0.00,0.67,2.30,0.00,0,0,0,0,0,0,0,1,0,0,1,0,0,0,23,0,0,
17-02-2021,FEI,AIRCRAFT,TEMPERATURE CONTROL,5,305,9,0,9,0,0,0.00,3.00,0.00,0.00,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,
17-02-2021,FEI,VESSEL,TEMPERATURE CONTROL,2,38,3,0,3,0,0,0.00,1.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,
17-02-2021,FEI,AIRCRAFT,INVERTER,26,2499,99,22,17,60,0,22.00,5.67,6.00,0.00,17,4,1,0,0,0,10,2,0,0,0,5,0,0,60,0,0,
17-02-2021,FEA NJ,VESSEL,INVERTER,1,29,1,0,1,0,0,0.00,0.33,0.00,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
17-02-2021,FEE,AIRCRAFT,INVERTER,1,3,1,0,1,0,0,0.00,0.33,0.00,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
17-02-2021,FEI,VESSEL,INVERTER,30,1198,86,13,20,53,0,13.00,6.67,5.30,0.00,6,6,1,0,0,0,6,2,0,2,2,8,0,0,53,0,0,
17-02-2021,FEA NJ,AIRCRAFT,INVERTER,1,3,1,0,1,0,0,0.00,0.33,0.00,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
17-02-2021,FEA,VESSEL,TEMPERATURE CONTROL,3,552,9,0,9,0,0,0.00,3.00,0.00,0.00,0,0,0,0,0,0,1,0,3,0,0,0,5,0,0,0,0,
18-02-2021,WuXi,AIRCRAFT,TEMPERATURE CONTROL,4,236,17,3,14,0,0,3.00,4.67,0.00,0.00,3,0,0,0,0,0,10,2,0,1,0,0,0,1,0,0,0,
18-02-2021,FEI,AIRCRAFT,TEMPERATURE CONTROL,1,162,2,0,2,0,0,0.00,0.67,0.00,0.00,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,
18-02-2021,FETW,AIRCRAFT,TEMPERATURE CONTROL,1,272,2,0,2,0,0,0.00,0.67,0.00,0.00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
